feature_name,feature_group,row_count,non_null_count,null_count,coverage_pct,zero_count,distinct_count,unique_values,top_frequency
ProductID,conditional_high_cardinality,35000,35000,0,100.0,0,2671,PRO002579|PRO002560|PRO002325|PRO000518|PRO000001|PRO001849|PRO000731|PRO000105|PRO000508|PRO002402|PRO002813|PRO000415|PRO002829|PRO002913|PRO000730|PRO000247|PRO000482|PRO001847|PRO000630|PRO001351|PRO001049|PRO002495|PRO002731|PRO001655|PRO002704,670
StoreID,conditional_high_cardinality,35000,35000,0,100.0,0,49,STO000044|STO000037|STO000016|STO000012|STO000033|STO000041|STO000017|STO000050|STO000025|STO000023|STO000036|STO000030|STO000014|STO000026|STO000032|STO000029|STO000034|STO000038|STO000020|STO000031|STO000042|STO000035|STO000021|STO000027|STO000009,1219
Channel,context,35000,35000,0,100.0,0,6,Mobile|Email|Web|Kiosk|Store|Online,14028
CategoryID,context,35000,35000,0,100.0,0,70,CAT000012|CAT000019|CAT000014|CAT000011|CAT000065|CAT000024|CAT000017|CAT000021|CAT000064|CAT000052|CAT000048|CAT000043|CAT000050|CAT000057|CAT000045|CAT000016|CAT000018|CAT000047|CAT000013|CAT000022|CAT000015|CAT000074|CAT000041|CAT000046|CAT000037,1003
BrandID,context,35000,35000,0,100.0,0,150,BRA000005|BRA000022|BRA000002|BRA000038|BRA000125|BRA000010|BRA000080|BRA000070|BRA000090|BRA000068|BRA000079|BRA000075|BRA000048|BRA000121|BRA000093|BRA000071|BRA000063|BRA000050|BRA000113|BRA000099|BRA000006|BRA000146|BRA000018|BRA000031|BRA000020,881
Season,context,35000,35000,0,100.0,0,5,All|Spring|Summer|Winter|Fall,15708
StoreType,context,35000,35000,0,100.0,0,3,Urban|Suburban|Outlet,15427
RegionID,context,35000,35000,0,100.0,0,10,REG000004|REG000005|REG000007|REG000006|REG000002|REG000003|REG000009|REG000008|REG000010|REG000001,4705
ClimateZone,context,35000,35000,0,100.0,0,10,Mediterranean|Hot Subtropical|Continental|Humid Continental|Tropical Warm|Marine West Coast|Cold Continental|Hot Arid|Humid Subtropical|Mountain Cold,4705
CurrentPrice,price,35000,35000,0,100.0,0,10682,,110
AppliedPrice,price,35000,35000,0,100.0,0,19382,,36
BasePrice,price,35000,35000,0,100.0,0,2543,,670
price_change_amount,price,35000,35000,0,100.0,5043,11450,,5043
price_change_pct,price,35000,35000,0,100.0,5043,26294,,5043
price_vs_base_pct,price,35000,35000,0,100.0,676,28917,,676
current_vs_base_pct,price,35000,35000,0,100.0,43,13050,,109
discount_from_base_pct,price,35000,35000,0,100.0,676,28917,,676
active_history_selling_price,price_history,35000,35000,0,100.0,0,10682,,110
history_discount_pct,price_history,35000,35000,0,100.0,22372,1357,,22372
days_since_current_price_started,price_history,35000,35000,0,100.0,0,34856,,2
previous_selling_price,price_history,35000,25545,9455,72.985714,0,8147,,109
previous_price_change_pct,price_history,35000,25545,9455,72.985714,54,9443,,109
active_promotion_flag,promotion,35000,35000,0,100.0,34077,2,,34077
active_promotion_discount_pct,promotion,35000,923,34077,2.637143,0,159,,25
decision_month,calendar,35000,35000,0,100.0,0,12,,3607
decision_quarter,calendar,35000,35000,0,100.0,0,4,,9794
decision_day_of_week,calendar,35000,35000,0,100.0,5046,7,,5189
decision_is_weekend,calendar,35000,35000,0,100.0,25213,2,,25213
product_store_sales_7d,sales,35000,35000,0,100.0,32429,12,,32429
product_store_sales_14d,sales,35000,35000,0,100.0,30455,13,,30455
product_store_sales_30d,sales,35000,35000,0,100.0,26806,19,,26806
product_region_sales_7d,sales,35000,35000,0,100.0,31898,14,,31898
product_region_sales_14d,sales,35000,35000,0,100.0,29553,14,,29553
product_region_sales_30d,sales,35000,35000,0,100.0,25280,19,,25280
product_sales_7d,sales,35000,35000,0,100.0,26001,20,,26001
product_sales_14d,sales,35000,35000,0,100.0,21167,25,,21167
product_sales_30d,sales,35000,35000,0,100.0,14711,41,,14711
product_sales_60d,sales,35000,35000,0,100.0,9209,64,,9209
product_sales_90d,sales,35000,35000,0,100.0,6311,87,,6311
category_store_sales_7d,sales,35000,35000,0,100.0,28412,12,,28412
category_store_sales_14d,sales,35000,35000,0,100.0,24042,13,,24042
category_store_sales_30d,sales,35000,35000,0,100.0,17525,21,,17525
category_sales_7d,sales,35000,35000,0,100.0,1410,64,,3024
category_sales_14d,sales,35000,35000,0,100.0,276,105,,1966
category_sales_30d,sales,35000,35000,0,100.0,95,185,,1159
product_sales_velocity_7d,sales,35000,35000,0,100.0,26001,20,,26001
product_sales_velocity_30d,sales,35000,35000,0,100.0,14711,41,,14711
product_sales_velocity_90d,sales,35000,35000,0,100.0,6311,87,,6311
product_sales_velocity_ratio_7d_30d,sales,35000,20289,14711,57.968571,11290,150,,11290
days_since_last_product_sale,sales,35000,33453,1547,95.58,0,297,,1863
competitor_price_exact_channel,optional_competitor,35000,2299,32701,6.568571,0,884,,34
competitor_price_region_fallback,optional_competitor,35000,11907,23093,34.02,0,4902,,33
competitor_price_product_fallback,optional_competitor,35000,24544,10456,70.125714,0,8480,,29
competitor_price,optional_competitor,35000,24544,10456,70.125714,0,8663,,41
competitor_price_available,optional_competitor,35000,35000,0,100.0,10456,2,,24544
competitor_price_age_days,optional_competitor,35000,24544,10456,70.125714,0,24423,,3
